cluster;nbAircraft;uncertainty;clusterId;iterations;rdOff1;rdOff2;InitialConfigurationCost;AlgorithmConfigurationCost;ConfigurationsDistance
cluster_10ac_2err_4;10;2;4;0;9;5;78;2563;16;
cluster_10ac_2err_5;10;2;5;4;0;1;48;2519;5;
cluster_10ac_2err_5;10;2;5;0;1;4;48;88;23;
cluster_10ac_2err_5;10;2;5;1;1;9;48;125;26;
cluster_10ac_2err_5;10;2;5;2;1;9;48;69;17;
cluster_10ac_2err_5;10;2;5;3;1;0;48;2519;5;
cluster_10ac_2err_5;10;2;5;4;1;7;48;60;12;
cluster_10ac_2err_5;10;2;5;0;2;1;48;91;21;
cluster_10ac_2err_5;10;2;5;1;2;8;48;51;4;
cluster_10ac_2err_5;10;2;5;2;2;7;48;87;8;
cluster_10ac_2err_5;10;2;5;3;2;0;48;87;8;
cluster_10ac_2err_5;10;2;5;4;2;4;48;71;14;
cluster_10ac_2err_5;10;2;5;0;3;2;48;51;4;
cluster_10ac_2err_5;10;2;5;0;4;6;48;65;10;
cluster_10ac_2err_5;10;2;5;1;4;9;48;81;11;
cluster_10ac_2err_5;10;2;5;2;4;5;48;72;11;
cluster_10ac_2err_5;10;2;5;3;4;2;48;87;16;
cluster_10ac_2err_5;10;2;5;4;4;8;48;60;10;
cluster_10ac_2err_5;10;2;5;1;5;2;48;2546;1;
cluster_10ac_2err_5;10;2;5;2;5;4;48;81;11;
cluster_10ac_2err_5;10;2;5;0;6;4;48;67;10;
cluster_10ac_2err_5;10;2;5;2;7;1;48;99;17;
cluster_10ac_2err_5;10;2;5;0;8;1;48;112;26;
cluster_10ac_2err_5;10;2;5;1;8;1;48;115;22;
cluster_10ac_2err_5;10;2;5;2;8;4;48;81;11;
cluster_10ac_2err_5;10;2;5;3;8;1;48;91;19;
cluster_10ac_2err_5;10;2;5;4;8;1;48;70;15;
cluster_10ac_2err_5;10;2;5;0;9;1;48;60;12;
cluster_10ac_2err_5;10;2;5;1;9;2;48;60;5;
cluster_10ac_2err_5;10;2;5;2;9;1;48;106;20;
cluster_10ac_2err_5;10;2;5;3;9;1;48;93;22;
cluster_10ac_2err_5;10;2;5;4;9;2;48;60;5;
cluster_10ac_2err_6;10;2;6;1;0;1;58;2545;4;
cluster_10ac_2err_6;10;2;6;3;0;7;58;76;10;
cluster_10ac_2err_6;10;2;6;4;0;7;58;88;11;
cluster_10ac_2err_6;10;2;6;0;1;8;58;2545;4;
cluster_10ac_2err_6;10;2;6;1;1;5;58;2545;4;
cluster_10ac_2err_6;10;2;6;2;1;4;58;2545;4;
cluster_10ac_2err_6;10;2;6;3;1;0;58;2545;4;
cluster_10ac_2err_6;10;2;6;4;1;9;58;2545;4;
cluster_10ac_2err_6;10;2;6;0;2;7;58;2535;8;
cluster_10ac_2err_6;10;2;6;1;2;3;58;2573;19;
cluster_10ac_2err_6;10;2;6;3;2;3;58;5013;8;
cluster_10ac_2err_6;10;2;6;0;3;1;58;5041;18;
cluster_10ac_2err_6;10;2;6;1;3;5;58;149;31;
cluster_10ac_2err_6;10;2;6;2;3;7;58;2535;13;
cluster_10ac_2err_6;10;2;6;3;3;1;58;5029;17;
cluster_10ac_2err_6;10;2;6;4;3;9;58;2544;15;
cluster_10ac_2err_6;10;2;6;0;4;1;58;2545;4;
cluster_10ac_2err_6;10;2;6;3;4;3;58;114;25;
cluster_10ac_2err_6;10;2;6;3;5;3;58;167;34;
cluster_10ac_2err_6;10;2;6;0;6;1;58;2545;4;
cluster_10ac_2err_6;10;2;6;0;7;8;58;91;10;
cluster_10ac_2err_6;10;2;6;1;7;1;58;2597;19;
cluster_10ac_2err_6;10;2;6;2;7;0;58;90;11;
cluster_10ac_2err_6;10;2;6;3;7;8;58;93;10;
cluster_10ac_2err_6;10;2;6;4;7;4;58;73;7;
cluster_10ac_2err_6;10;2;6;3;8;1;58;2545;4;
