cluster;nbAircraft;uncertainty;clusterId;iterations;default;CP;SA
cluster_15ac_3err_8;15;3;8;4;10000,0;55,0;123,0;
cluster_15ac_3err_9;15;3;9;0;20000,0;257,0;10132,0;
cluster_15ac_3err_9;15;3;9;1;20000,0;257,0;10142,0;
cluster_15ac_3err_9;15;3;9;2;20000,0;257,0;5175,0;
cluster_15ac_3err_9;15;3;9;3;20000,0;257,0;7643,0;
cluster_15ac_3err_9;15;3;9;4;20000,0;257,0;5224,0;
cluster_20ac_1err_0;20;1;0;0;45000,0;196,0;5402,0;
cluster_20ac_1err_0;20;1;0;1;45000,0;196,0;5333,0;
cluster_20ac_1err_0;20;1;0;2;45000,0;196,0;7751,0;
cluster_20ac_1err_0;20;1;0;3;45000,0;196,0;15225,0;
cluster_20ac_1err_0;20;1;0;4;45000,0;196,0;431,0;
cluster_20ac_1err_2;20;1;2;0;32500,0;151,0;359,0;
cluster_20ac_1err_2;20;1;2;1;32500,0;151,0;453,0;
cluster_20ac_1err_2;20;1;2;2;32500,0;151,0;361,0;
cluster_20ac_1err_2;20;1;2;3;32500,0;151,0;394,0;
cluster_20ac_1err_2;20;1;2;4;32500,0;151,0;436,0;
cluster_20ac_1err_3;20;1;3;0;40000,0;200,0;432,0;
cluster_20ac_1err_3;20;1;3;1;40000,0;200,0;469,0;
cluster_20ac_1err_3;20;1;3;2;40000,0;200,0;410,0;
cluster_20ac_1err_3;20;1;3;3;40000,0;200,0;382,0;
cluster_20ac_1err_3;20;1;3;4;40000,0;200,0;388,0;
cluster_20ac_1err_4;20;1;4;0;30000,0;178,0;2828,0;
cluster_20ac_1err_4;20;1;4;1;30000,0;178,0;10261,0;
cluster_20ac_1err_4;20;1;4;2;30000,0;178,0;17557,0;
cluster_20ac_1err_4;20;1;4;3;30000,0;178,0;17574,0;
cluster_20ac_1err_4;20;1;4;4;30000,0;178,0;7747,0;
cluster_20ac_1err_5;20;1;5;0;30000,0;218,0;2847,0;
cluster_20ac_1err_5;20;1;5;1;30000,0;218,0;2764,0;
cluster_20ac_1err_5;20;1;5;2;30000,0;218,0;2845,0;
cluster_20ac_1err_5;20;1;5;3;30000,0;218,0;2845,0;
cluster_20ac_1err_5;20;1;5;4;30000,0;218,0;2798,0;
cluster_20ac_1err_6;20;1;6;0;27500,0;119,0;315,0;
cluster_20ac_1err_6;20;1;6;1;27500,0;119,0;301,0;
cluster_20ac_1err_6;20;1;6;2;27500,0;119,0;250,0;
cluster_20ac_1err_6;20;1;6;3;27500,0;119,0;259,0;
cluster_20ac_1err_6;20;1;6;4;27500,0;119,0;2770,0;
cluster_20ac_1err_7;20;1;7;0;47500,0;225,0;20226,0;
cluster_20ac_1err_7;20;1;7;1;47500,0;225,0;17742,0;
cluster_20ac_1err_7;20;1;7;2;47500,0;225,0;5352,0;
cluster_20ac_1err_7;20;1;7;3;47500,0;225,0;10413,0;
cluster_20ac_1err_7;20;1;7;4;47500,0;225,0;20284,0;
cluster_20ac_1err_9;20;1;9;0;40000,0;199,0;5250,0;
cluster_20ac_1err_9;20;1;9;1;40000,0;199,0;485,0;
cluster_20ac_1err_9;20;1;9;2;40000,0;199,0;2798,0;
cluster_20ac_1err_9;20;1;9;3;40000,0;199,0;2797,0;
cluster_20ac_1err_9;20;1;9;4;40000,0;199,0;2799,0;
cluster_20ac_2err_0;20;2;0;0;35000,0;63020,0;12672,0;
cluster_20ac_2err_0;20;2;0;1;35000,0;63020,0;15148,0;
cluster_20ac_2err_0;20;2;0;2;35000,0;63020,0;17643,0;
cluster_20ac_2err_0;20;2;0;3;35000,0;63020,0;15182,0;
cluster_20ac_2err_0;20;2;0;4;35000,0;63020,0;15152,0;
cluster_20ac_2err_1;20;2;1;0;82500,0;110520,0;22922,0;
cluster_20ac_2err_1;20;2;1;1;82500,0;110520,0;25520,0;
cluster_20ac_2err_1;20;2;1;2;82500,0;110520,0;17886,0;
cluster_20ac_2err_1;20;2;1;3;82500,0;110520,0;15497,0;
cluster_20ac_2err_1;20;2;1;4;82500,0;110520,0;10570,0;
cluster_20ac_2err_2;20;2;2;0;45000,0;288,0;5366,0;
cluster_20ac_2err_2;20;2;2;1;45000,0;288,0;15217,0;
cluster_20ac_2err_2;20;2;2;2;45000,0;288,0;5448,0;
cluster_20ac_2err_2;20;2;2;3;45000,0;288,0;12781,0;
cluster_20ac_2err_2;20;2;2;4;45000,0;288,0;5419,0;
cluster_20ac_2err_3;20;2;3;0;32500,0;231,0;7861,0;
cluster_20ac_2err_3;20;2;3;1;32500,0;231,0;7848,0;
cluster_20ac_2err_3;20;2;3;2;32500,0;231,0;7864,0;
cluster_20ac_2err_3;20;2;3;3;32500,0;231,0;5412,0;
cluster_20ac_2err_3;20;2;3;4;32500,0;231,0;7762,0;
cluster_20ac_2err_4;20;2;4;0;50000,0;235,0;12753,0;
cluster_20ac_2err_4;20;2;4;1;50000,0;235,0;10347,0;
cluster_20ac_2err_4;20;2;4;2;50000,0;235,0;10392,0;
cluster_20ac_2err_4;20;2;4;3;50000,0;235,0;12914,0;
cluster_20ac_2err_4;20;2;4;4;50000,0;235,0;5383,0;
cluster_20ac_2err_5;20;2;5;0;50000,0;103020,0;20373,0;
cluster_20ac_2err_5;20;2;5;1;50000,0;103020,0;27735,0;
cluster_20ac_2err_5;20;2;5;2;50000,0;103020,0;17781,0;
cluster_20ac_2err_5;20;2;5;3;50000,0;103020,0;22719,0;
cluster_20ac_2err_5;20;2;5;4;50000,0;103020,0;15385,0;
cluster_20ac_2err_8;20;2;8;0;32500,0;227,0;5222,0;
cluster_20ac_2err_8;20;2;8;1;32500,0;227,0;5297,0;
cluster_20ac_2err_8;20;2;8;2;32500,0;227,0;12683,0;
cluster_20ac_2err_8;20;2;8;3;32500,0;227,0;10163,0;
cluster_20ac_2err_8;20;2;8;4;32500,0;227,0;2869,0;
cluster_20ac_2err_9;20;2;9;0;52500,0;314,0;25395,0;
cluster_20ac_2err_9;20;2;9;1;52500,0;314,0;17870,0;
cluster_20ac_2err_9;20;2;9;2;52500,0;314,0;13003,0;
cluster_20ac_2err_9;20;2;9;3;52500,0;314,0;20222,0;
cluster_20ac_2err_9;20;2;9;4;52500,0;314,0;15394,0;
cluster_20ac_3err_4;20;3;4;0;47500,0;299,0;10260,0;
cluster_20ac_3err_4;20;3;4;1;47500,0;299,0;15356,0;
cluster_20ac_3err_4;20;3;4;2;47500,0;299,0;15307,0;
cluster_20ac_3err_4;20;3;4;3;47500,0;299,0;12843,0;
cluster_20ac_3err_4;20;3;4;4;47500,0;299,0;10326,0;
cluster_20ac_3err_8;20;3;8;0;72500,0;40256,0;40538,0;
cluster_20ac_3err_8;20;3;8;1;72500,0;40256,0;30410,0;
cluster_20ac_3err_8;20;3;8;2;72500,0;40256,0;25469,0;
cluster_20ac_3err_8;20;3;8;3;72500,0;40256,0;32970,0;
cluster_20ac_3err_8;20;3;8;4;72500,0;40256,0;25524,0;
cluster_20ac_3err_9;20;3;9;0;55000,0;83020,0;40209,0;
cluster_20ac_3err_9;20;3;9;1;55000,0;83020,0;35246,0;
cluster_20ac_3err_9;20;3;9;2;55000,0;83020,0;35291,0;
cluster_20ac_3err_9;20;3;9;3;55000,0;83020,0;37673,0;
cluster_20ac_3err_9;20;3;9;4;55000,0;83020,0;32733,0;
cluster_5ac_1err_0;5;1;0;0;2500,0;18,0;46,0;
cluster_5ac_1err_0;5;1;0;1;2500,0;18,0;27,0;
cluster_5ac_1err_0;5;1;0;2;2500,0;18,0;31,0;
cluster_5ac_1err_0;5;1;0;3;2500,0;18,0;29,0;
cluster_5ac_1err_0;5;1;0;4;2500,0;18,0;35,0;
cluster_5ac_1err_1;5;1;1;0;5000,0;11,0;49,0;
cluster_5ac_1err_1;5;1;1;1;5000,0;11,0;19,0;
cluster_5ac_1err_1;5;1;1;2;5000,0;11,0;48,0;
cluster_5ac_1err_1;5;1;1;3;5000,0;11,0;45,0;
cluster_5ac_1err_1;5;1;1;4;5000,0;11,0;75,0;
cluster_5ac_1err_4;5;1;4;0;2500,0;8,0;27,0;
